bid,cid,loader
78,1,default
58,1,default
40,1,default
26,1,default
32,1,default
28,1,default
91,1,default
65,1,default
65,2,default
61,1,default
95,1,default
92,1,default
43,1,default
52,1,default
13,1,default
41,1,default
47,1,default
39,1,default
89,1,default
83,1,default
56,1,default
66,1,default
2,1,default
73,1,default
11,1,default
11,2,default
77,1,default
20,1,default
64,1,default
55,1,default
101,1,default
6,1,default
108,1,default
3,1,default
79,1,default
54,1,default
14,1,default
8,1,default
106,1,default
106,2,default
68,1,default
21,1,default
100,1,default
48,1,default
9,1,default
35,1,default
110,1,default
31,1,default
7,1,default
23,1,default
80,1,default
105,1,default
4,1,default
24,1,default
94,1,default
25,1,default
104,1,default
104,2,default
29,1,default
63,1,default
59,1,default
75,1,default
49,1,default
5,1,default
88,1,default
51,1,default
36,1,default
36,2,default
69,1,default
38,1,default
38,2,default
38,3,default
90,1,default
90,2,default
44,1,default
112,1,default
