bid,cid,loader
84,1,default
3,1,default
25,1,default
23,1,default
55,1,default
100,1,default
102,1,default
46,1,default
78,1,default
95,1,default
18,1,default
38,1,default
88,1,default
83,1,default
47,1,default
106,1,default
106,2,default
51,1,default
15,1,default
60,1,default
90,1,default
28,1,default
28,2,default
28,3,default
93,1,default
31,1,default
8,1,default
49,1,default
14,1,default
17,1,default
37,1,default
37,2,default
61,1,default
103,1,default
12,1,default
13,1,default
89,1,default
42,1,default
54,1,default
87,1,default
36,1,default
36,2,default
74,1,default
