bug_id, status, num_new_bugs, hunks_new_bugs
4, INDIVISIBLE, 0, 2
16, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
7, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
5, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
19, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
21, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
14, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
26, INDIVISIBLE, 0, 2
15, INDIVISIBLE, 0, 3
STATSTICS, Divisible=6, Indivisible=3, Isolated=0
bug_id, status, num_new_bugs, hunks_new_bugs
14, VALID_DIVISIBLE_BUG, 4, 1.1.1.1.
4, INDIVISIBLE, 0, 2
26, INDIVISIBLE, 0, 2
2, VALID_DIVISIBLE_BUG, 6, 1.1.1.1.2.2.
19, VALID_DIVISIBLE_BUG, 2, 1.1.
7, VALID_DIVISIBLE_BUG, 2, 1.1.
5, VALID_DIVISIBLE_BUG, 1, 2
18, VALID_DIVISIBLE_BUG, 3, 1.2.3.
25, VALID_DIVISIBLE_BUG, 4, 1.1.2.2.
15, INDIVISIBLE, 0, 3
21, VALID_DIVISIBLE_BUG, 1, 4
22, VALID_DIVISIBLE_BUG, 4, 1.1.1.2.
16, VALID_DIVISIBLE_BUG, 2, 1.1.
STATSTICS, Divisible=10, Indivisible=3, Isolated=29
