bug_id, status, num_new_bugs, hunks_new_bugs
79, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
58, INDIVISIBLE, 0, 2
135, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
95, INDIVISIBLE, 0, 2
64, INDIVISIBLE, 0, 4
66, INDIVISIBLE, 0, 2
19, INDIVISIBLE, 0, 2
17, INDIVISIBLE, 0, 2
45, VALID_DIVISIBLE_BUG, 1, 4
22, VALID_DIVISIBLE_BUG, 1, 5
25, VALID_DIVISIBLE_BUG, 1, 4
34, INDIVISIBLE, 0, 3
74, INDIVISIBLE, 0, 2
24, INDIVISIBLE, 0, 4
54, VALID_DIVISIBLE_BUG, 1, 5
60, INDIVISIBLE, 0, 3
26, INDIVISIBLE, 0, 3
115, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
29, INDIVISIBLE, 0, 3
147, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
151, INDIVISIBLE, 0, 3
101, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
53, INDIVISIBLE, 0, 2
75, VALID_DIVISIBLE_BUG, 1, 3
170, INDIVISIBLE, 0, 5
143, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
99, VALID_DIVISIBLE_BUG, 1, 4
23, INDIVISIBLE, 0, 2
37, VALID_DIVISIBLE_BUG, 1, 3
44, INDIVISIBLE, 0, 2
172, INDIVISIBLE, 0, 2
72, INDIVISIBLE, 0, 2
84, VALID_DIVISIBLE_BUG, 1, 3
40, INDIVISIBLE, 0, 2
128, INDIVISIBLE, 0, 2
98, INDIVISIBLE, 0, 5
145, INDIVISIBLE, 0, 4
43, INDIVISIBLE, 0, 4
121, INDIVISIBLE, 0, 2
105, INDIVISIBLE, 0, 5
88, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
51, INDIVISIBLE, 0, 3
124, INDIVISIBLE, 0, 2
171, INDIVISIBLE, 0, 2
160, INDIVISIBLE, 0, 3
48, INDIVISIBLE, 0, 2
108, VALID_DIVISIBLE_BUG, 1, 4
142, VALID_DIVISIBLE_BUG, 1, 3
173, VALID_DIVISIBLE_BUG, 1, 3
100, INDIVISIBLE, 0, 2
141, VALID_DIVISIBLE_BUG, 2, 2.2.
96, INDIVISIBLE, 0, 3
13, INDIVISIBLE, 0, 2
106, VALID_DIVISIBLE_BUG, 1, 3
27, VALID_DIVISIBLE_BUG, 1, 3
136, VALID_DIVISIBLE_BUG, 1, 4
85, VALID_DIVISIBLE_BUG, 1, 4
89, INDIVISIBLE, 0, 2
94, VALID_DIVISIBLE_BUG, 1, 3
41, INDIVISIBLE, 0, 2
87, INDIVISIBLE, 0, 4
164, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
103, VALID_DIVISIBLE_BUG, 1, 3
21, INDIVISIBLE, 0, 2
127, INDIVISIBLE, 0, 2
8, INDIVISIBLE, 0, 2
78, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
16, INDIVISIBLE, 0, 5
116, INDIVISIBLE, 0, 2
176, VALID_DIVISIBLE_BUG, 1, 5
102, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
6, VALID_DIVISIBLE_BUG, 2, 2.2.
56, INDIVISIBLE, 0, 2
68, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
90, INDIVISIBLE, 0, 2
3, INDIVISIBLE, 0, 3
47, VALID_DIVISIBLE_BUG, 2, 2.3.
9, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
42, INDIVISIBLE, 0, 2
7, INDIVISIBLE, 0, 3
131, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
117, INDIVISIBLE, 0, 3
80, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
4, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
2, INDIVISIBLE, 0, 3
39, VALID_DIVISIBLE_BUG, 1, 3
140, VALID_DIVISIBLE_BUG, 1, 3
50, VALID_DIVISIBLE_BUG, 1, 3
STATSTICS, Divisible=39, Indivisible=49, Isolated=27
