bug_id, status, num_new_bugs, hunks_new_bugs
60, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
63, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
8, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
31, INDIVISIBLE, 0, 4
10, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
47, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
12, VALID_DIVISIBLE_BUG, 1, 3
32, INDIVISIBLE, 0, 4
13, INDIVISIBLE, 0, 4
62, VALID_DIVISIBLE_BUG, 2, 2.3.
35, INDIVISIBLE, 0, 2
1, INDIVISIBLE, 0, 3
27, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
48, INDIVISIBLE, 0, 2
56, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
15, INDIVISIBLE, 0, 2
3, VALID_DIVISIBLE_BUG, 2, 2.2.
23, VALID_DIVISIBLE_BUG, 1, 3
18, INDIVISIBLE, 0, 2
20, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
28, INDIVISIBLE, 0, 2
19, VALID_DIVISIBLE_BUG, 1, 5
42, INDIVISIBLE, 0, 2
64, INDIVISIBLE, 0, 5
4, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
53, VALID_DIVISIBLE_BUG, 3, 2.2.2.
36, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
7, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
22, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
55, INDIVISIBLE, 0, 2
34, INDIVISIBLE, 0, 2
14, INDIVISIBLE, 0, 2
37, INDIVISIBLE, 0, 3
5, INDIVISIBLE, 0, 2
STATSTICS, Divisible=18, Indivisible=16, Isolated=10
