bug_id, status, num_new_bugs, hunks_new_bugs
84, INDIVISIBLE, 0, 3
3, INDIVISIBLE, 0, 2
25, INDIVISIBLE, 0, 2
71, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
97, NO_DATA, 0, NONE
23, VALID_DIVISIBLE_BUG, 1, 5
79, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
55, INDIVISIBLE, 0, 5
67, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
100, INDIVISIBLE, 0, 3
102, INDIVISIBLE, 0, 3
99, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
46, INDIVISIBLE, 0, 2
78, INDIVISIBLE, 0, 3
98, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
26, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
24, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
81, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
95, INDIVISIBLE, 0, 3
86, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
22, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
18, VALID_DIVISIBLE_BUG, 1, 5
38, INDIVISIBLE, 0, 3
44, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
29, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
52, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
88, INDIVISIBLE, 0, 4
83, VALID_DIVISIBLE_BUG, 1, 3
47, INDIVISIBLE, 0, 4
106, VALID_DIVISIBLE_BUG, 2, 2.2.
65, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
1, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
51, VALID_DIVISIBLE_BUG, 1, 3
15, INDIVISIBLE, 0, 2
60, INDIVISIBLE, 0, 2
90, INDIVISIBLE, 0, 2
28, VALID_DIVISIBLE_BUG, 3, 2.2.2.
4, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
93, VALID_DIVISIBLE_BUG, 1, 3
31, VALID_DIVISIBLE_BUG, 1, 4
77, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
8, INDIVISIBLE, 0, 2
49, VALID_DIVISIBLE_BUG, 1, 4
14, INDIVISIBLE, 0, 3
17, INDIVISIBLE, 0, 2
37, VALID_DIVISIBLE_BUG, 2, 2.2.
61, INDIVISIBLE, 0, 2
103, INDIVISIBLE, 0, 2
12, VALID_DIVISIBLE_BUG, 1, 3
13, INDIVISIBLE, 0, 2
89, INDIVISIBLE, 0, 2
35, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
62, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
42, INDIVISIBLE, 0, 2
54, INDIVISIBLE, 0, 2
7, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
43, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
72, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
40, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
87, INDIVISIBLE, 0, 3
36, VALID_DIVISIBLE_BUG, 2, 2.2.
74, INDIVISIBLE, 0, 3
STATSTICS, Divisible=35, Indivisible=26, Isolated=17
bug_id, status, num_new_bugs, hunks_new_bugs
74, INDIVISIBLE, 0, 3
24, VALID_DIVISIBLE_BUG, 1, 2
81, VALID_DIVISIBLE_BUG, 1, 3
37, VALID_DIVISIBLE_BUG, 2, 2.2.
98, VALID_DIVISIBLE_BUG, 2, 1.1.
43, VALID_DIVISIBLE_BUG, 3, 1.1.1.
100, INDIVISIBLE, 0, 3
62, VALID_DIVISIBLE_BUG, 1, 2
35, VALID_DIVISIBLE_BUG, 2, 1.1.
103, INDIVISIBLE, 0, 2
93, VALID_DIVISIBLE_BUG, 1, 3
44, VALID_DIVISIBLE_BUG, 1, 3
7, VALID_DIVISIBLE_BUG, 1, 4
66, VALID_DIVISIBLE_BUG, 2, 1.2.
31, VALID_DIVISIBLE_BUG, 1, 4
16, NO_DATA, 0, NONE
12, VALID_DIVISIBLE_BUG, 1, 3
89, INDIVISIBLE, 0, 2
38, INDIVISIBLE, 0, 3
95, INDIVISIBLE, 0, 3
52, VALID_DIVISIBLE_BUG, 1, 3
77, VALID_DIVISIBLE_BUG, 2, 1.1.
55, INDIVISIBLE, 0, 5
90, INDIVISIBLE, 0, 2
21, VALID_DIVISIBLE_BUG, 1, 6
78, INDIVISIBLE, 0, 3
64, NO_DATA, 0, NONE
97, NO_DATA, 0, NONE
67, VALID_DIVISIBLE_BUG, 2, 1.1.
40, VALID_DIVISIBLE_BUG, 1, 2
71, VALID_DIVISIBLE_BUG, 2, 1.1.
29, VALID_DIVISIBLE_BUG, 2, 1.1.
22, VALID_DIVISIBLE_BUG, 2, 1.1.
17, INDIVISIBLE, 0, 2
28, VALID_DIVISIBLE_BUG, 3, 2.2.2.
14, INDIVISIBLE, 0, 3
18, VALID_DIVISIBLE_BUG, 1, 5
60, INDIVISIBLE, 0, 2
6, NO_DATA, 0, NONE
49, VALID_DIVISIBLE_BUG, 1, 4
13, INDIVISIBLE, 0, 2
68, VALID_DIVISIBLE_BUG, 1, 9
65, VALID_DIVISIBLE_BUG, 1, 2
47, INDIVISIBLE, 0, 4
79, VALID_DIVISIBLE_BUG, 1, 2
87, INDIVISIBLE, 0, 3
54, INDIVISIBLE, 0, 2
76, NO_DATA, 0, NONE
36, VALID_DIVISIBLE_BUG, 2, 2.2.
92, NO_DATA, 0, NONE
83, VALID_DIVISIBLE_BUG, 1, 3
4, VALID_DIVISIBLE_BUG, 2, 1.1.
84, INDIVISIBLE, 0, 3
15, INDIVISIBLE, 0, 2
23, VALID_DIVISIBLE_BUG, 1, 5
51, VALID_DIVISIBLE_BUG, 1, 3
102, INDIVISIBLE, 0, 3
3, INDIVISIBLE, 0, 2
1, VALID_DIVISIBLE_BUG, 2, 1.1.
8, INDIVISIBLE, 0, 2
