bug_id, status, num_new_bugs, hunks_new_bugs
4, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
3, INDIVISIBLE, 0, 3
13, VALID_DIVISIBLE_BUG, 1, 3
14, INDIVISIBLE, 0, 5
9, INDIVISIBLE, 0, 3
12, INDIVISIBLE, 0, 3
21, INDIVISIBLE, 0, 5
30, INDIVISIBLE, 0, 3
31, INDIVISIBLE, 0, 2
11, VALID_DIVISIBLE_BUG, 1, 3
35, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
20, VALID_DIVISIBLE_BUG, 1, 3
33, INDIVISIBLE, 0, 2
15, INDIVISIBLE, 0, 3
16, INDIVISIBLE, 0, 5
32, INDIVISIBLE, 0, 2
36, INDIVISIBLE, 0, 2
2, INDIVISIBLE, 0, 3
37, INDIVISIBLE, 0, 2
STATSTICS, Divisible=5, Indivisible=14, Isolated=3
