bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
Lang_62, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 4, 4
Closure_29, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_165, NO_DATA, NONE, NONE, NONE, NONE, 13, 12
Closure_149, VALID_DIVISIBLE_BUG, 0, 1, /5/, /5/, 7, 7
Math_74, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Lang_23, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Math_24, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Closure_85, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
Closure_147, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_124, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_56, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_81, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Closure_4, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Lang_7, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 2
Closure_101, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
Closure_41, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_10, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Mockito_11, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Time_26, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 9, 9
Chart_14, INVALID_DIVISIBLE_BUG, 4, 0, /, /, 4, 4
Mockito_13, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Lang_5, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_37, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
Lang_4, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
Closure_22, VALID_DIVISIBLE_BUG, 0, 1, /4/, /4/, 5, 5
Lang_20, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_121, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Time_5, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Chart_4, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_41, VALID_DIVISIBLE_BUG, 0, 3, /3/4/5/, /2/2/2/, 8, 4
Chart_26, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_98, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_21, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_13, INDIVISIBLE, 0, 0, 4, 4, 4, 4
Closure_127, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_43, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
Closure_98, INDIVISIBLE, 0, 0, 5, 3, 5, 3
Math_100, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_144, NO_DATA, NONE, NONE, NONE, NONE, 11, 10
Closure_174, NO_DATA, NONE, NONE, NONE, NONE, 9, 8
Closure_34, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Lang_56, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 2
Lang_30, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /1/2/, 20, 17
Closure_96, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Math_62, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Closure_100, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 2, 2
Lang_27, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Math_35, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_2, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Closure_84, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Closure_45, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
Closure_171, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_110, NO_DATA, NONE, NONE, NONE, NONE, 12, 8
Math_103, INDIVISIBLE, 0, 0, 2, 2, 2, 2
