bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk
29, INDIVISIBLE, 0, 0, 3, 3, 3, 3
165, NO_DATA, NONE, NONE, NONE, NONE, 13, 12
149, VALID_DIVISIBLE_BUG, 0, 1, /5/, /5/, 7, 7
85, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
147, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
124, INDIVISIBLE, 0, 0, 2, 2, 2, 2
56, INDIVISIBLE, 0, 0, 2, 2, 2, 2
4, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
101, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
41, INDIVISIBLE, 0, 0, 2, 2, 2, 2
22, VALID_DIVISIBLE_BUG, 0, 1, /4/, /4/, 5, 5
121, INDIVISIBLE, 0, 0, 2, 1, 2, 1
21, INDIVISIBLE, 0, 0, 2, 2, 2, 2
127, INDIVISIBLE, 0, 0, 2, 2, 2, 2
98, INDIVISIBLE, 0, 0, 5, 3, 5, 3
144, NO_DATA, NONE, NONE, NONE, NONE, 11, 10
174, NO_DATA, NONE, NONE, NONE, NONE, 9, 8
34, INDIVISIBLE, 0, 0, 3, 3, 3, 3
96, INDIVISIBLE, 0, 0, 3, 2, 3, 2
100, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 2, 2
2, INDIVISIBLE, 0, 0, 3, 2, 3, 2
84, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
45, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
171, INDIVISIBLE, 0, 0, 2, 2, 2, 2
110, NO_DATA, NONE, NONE, NONE, NONE, 12, 8
128, INDIVISIBLE, 0, 0, 2, 2, 2, 2
105, INDIVISIBLE, 0, 0, 5, 5, 5, 5
40, INDIVISIBLE, 0, 0, 2, 2, 2, 2
25, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
162, NO_DATA, NONE, NONE, NONE, NONE, 13, 9
53, INDIVISIBLE, 0, 0, 2, 2, 2, 2
79, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
151, MIXED_DIVISIBLE_BUG, 1, 1, /3/, /3/, 3, 3
27, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
103, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 3, 2
37, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
68, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
136, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 4, 3
72, INDIVISIBLE, 0, 0, 2, 2, 2, 2
154, VALID_DIVISIBLE_BUG, 0, 1, /4/, /3/, 7, 6
64, INDIVISIBLE, 0, 0, 4, 4, 4, 4
66, INDIVISIBLE, 0, 0, 2, 1, 2, 1
89, INDIVISIBLE, 0, 0, 2, 2, 2, 2
135, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 3, 3
163, NO_DATA, NONE, NONE, NONE, NONE, 51, 40
142, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
19, INDIVISIBLE, 0, 0, 2, 1, 2, 1
90, INDIVISIBLE, 0, 0, 2, 2, 2, 2
74, INDIVISIBLE, 0, 0, 2, 2, 2, 2
87, INDIVISIBLE, 0, 0, 4, 1, 4, 1
138, VALID_DIVISIBLE_BUG, 0, 2, /2/6/, /2/3/, 7, 4
141, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/1/, 5, 4
108, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
24, INDIVISIBLE, 0, 0, 4, 3, 4, 3
3, INDIVISIBLE, 0, 0, 3, 3, 3, 3
17, INDIVISIBLE, 0, 0, 2, 1, 2, 1
58, INDIVISIBLE, 0, 0, 2, 2, 2, 2
39, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
139, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 9, 3
47, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 3, 3
26, INDIVISIBLE, 0, 0, 3, 3, 3, 3
137, NO_DATA, NONE, NONE, NONE, NONE, 30, 17
80, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
42, INDIVISIBLE, 0, 0, 2, 1, 2, 1
173, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
158, NO_DATA, NONE, NONE, NONE, NONE, 26, 15
115, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
6, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
8, INDIVISIBLE, 0, 0, 2, 2, 2, 2
170, INDIVISIBLE, 0, 0, 5, 3, 5, 3
23, INDIVISIBLE, 0, 0, 2, 2, 2, 2
16, INDIVISIBLE, 0, 0, 5, 5, 5, 5
