bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk
62, VALID_DIVISIBLE_BUG, 0, 2, /2/3/
23, VALID_DIVISIBLE_BUG, 0, 1, /2/
7, INVALID_DIVISIBLE_BUG, 1, 0, /
10, INVALID_DIVISIBLE_BUG, 1, 0, /
5, INDIVISIBLE, 0, 0, 2
4, INVALID_DIVISIBLE_BUG, 1, 0, /
20, INVALID_DIVISIBLE_BUG, 2, 0, /
41, VALID_DIVISIBLE_BUG, 0, 3, /3/4/5/
13, INDIVISIBLE, 0, 0, 4
56, INVALID_DIVISIBLE_BUG, 1, 0, /
30, VALID_DIVISIBLE_BUG, 0, 2, /2/2/
27, INVALID_DIVISIBLE_BUG, 1, 0, /
28, INDIVISIBLE, 0, 0, 2
36, INVALID_DIVISIBLE_BUG, 2, 0, /
55, INDIVISIBLE, 0, 0, 2
17, NO_DATA, NONE, NONE, NONE
14, INDIVISIBLE, 0, 0, 2
12, MIXED_DIVISIBLE_BUG, 1, 1, /2/
31, INDIVISIBLE, 0, 0, 4
19, MIXED_DIVISIBLE_BUG, 3, 1, /3/
32, INDIVISIBLE, 0, 0, 4
47, INVALID_DIVISIBLE_BUG, 2, 0, /
48, INDIVISIBLE, 0, 0, 2
18, INDIVISIBLE, 0, 0, 2
34, INDIVISIBLE, 0, 0, 2
53, VALID_DIVISIBLE_BUG, 0, 3, /2/2/2/
3, VALID_DIVISIBLE_BUG, 0, 2, /2/2/
46, INDIVISIBLE, 0, 0, 9
15, INDIVISIBLE, 0, 0, 2
65, VALID_DIVISIBLE_BUG, 0, 3, /6/7/8/
42, INDIVISIBLE, 0, 0, 2
63, INVALID_DIVISIBLE_BUG, 1, 0, /
35, INDIVISIBLE, 0, 0, 2
1, INDIVISIBLE, 0, 0, 3
37, INDIVISIBLE, 0, 0, 3
22, INVALID_DIVISIBLE_BUG, 1, 0, /
50, VALID_DIVISIBLE_BUG, 0, 2, /2/2/
60, INVALID_DIVISIBLE_BUG, 2, 0, /
64, INDIVISIBLE, 0, 0, 5
8, INVALID_DIVISIBLE_BUG, 1, 0, /
No_data=1, Divisible=22, Indivisible=17, Isolated=20, Single_divided=20
