bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk
74, INDIVISIBLE, 0, 0, 3, 3, 3, 3
24, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
81, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
37, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
98, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
43, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
100, INDIVISIBLE, 0, 0, 3, 3, 3, 3
62, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
35, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
103, INDIVISIBLE, 0, 0, 2, 2, 2, 2
93, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
44, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
7, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
66, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 12, 12
31, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
16, NO_DATA, NONE, NONE, NONE, NONE, 11, 7
12, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 2
89, INDIVISIBLE, 0, 0, 2, 2, 2, 2
38, INDIVISIBLE, 0, 0, 3, 3, 3, 3
95, INDIVISIBLE, 0, 0, 3, 3, 3, 3
52, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
77, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
55, INDIVISIBLE, 0, 0, 5, 1, 5, 1
90, INDIVISIBLE, 0, 0, 2, 1, 2, 1
21, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 6, 6
78, INDIVISIBLE, 0, 0, 3, 1, 3, 1
64, NO_DATA, NONE, NONE, NONE, NONE, 13, 10
97, NO_DATA, NONE, NONE, NONE, NONE, 5, 3
67, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
40, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
71, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
29, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
22, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
17, INDIVISIBLE, 0, 0, 2, 2, 2, 2
28, VALID_DIVISIBLE_BUG, 0, 3, /2/2/2/, /1/1/2/, 4, 3
14, INDIVISIBLE, 0, 0, 3, 3, 3, 3
18, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 5, 5
60, INDIVISIBLE, 0, 0, 2, 2, 2, 2
6, NO_DATA, NONE, NONE, NONE, NONE, 17, 17
49, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
13, INDIVISIBLE, 0, 0, 2, 2, 2, 2
68, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 9, 8
65, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
47, INDIVISIBLE, 0, 0, 4, 4, 4, 4
79, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
87, INDIVISIBLE, 0, 0, 3, 3, 3, 3
54, INDIVISIBLE, 0, 0, 2, 2, 2, 2
76, NO_DATA, NONE, NONE, NONE, NONE, 12, 12
36, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /1/1/, 4, 2
92, NO_DATA, NONE, NONE, NONE, NONE, 12, 3
83, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
4, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
84, INDIVISIBLE, 0, 0, 3, 2, 3, 2
15, INDIVISIBLE, 0, 0, 2, 2, 2, 2
23, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 5, 5
51, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
102, INDIVISIBLE, 0, 0, 3, 3, 3, 3
3, INDIVISIBLE, 0, 0, 2, 1, 2, 1
1, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
8, INDIVISIBLE, 0, 0, 2, 2, 2, 2
46, INDIVISIBLE, 0, 0, 2, 2, 2, 2
42, INDIVISIBLE, 0, 0, 2, 1, 2, 1
88, INDIVISIBLE, 0, 0, 4, 3, 4, 3
86, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
61, INDIVISIBLE, 0, 0, 2, 2, 2, 2
26, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
106, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /1/1/, 4, 2
72, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
25, INDIVISIBLE, 0, 0, 2, 1, 2, 1
99, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
STATSTICS, No_data=6, Divisible=38, Indivisible=26, Isolated=20, Single_divided=38, Hunks_total=263, Hunks_total_ci=225
