bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk
11, INDIVISIBLE, 0, 0, 3
13, VALID_DIVISIBLE_BUG, 0, 1, /2/
36, INDIVISIBLE, 0, 0, 2
16, INDIVISIBLE, 0, 0, 5
30, INDIVISIBLE, 0, 0, 3
35, INVALID_DIVISIBLE_BUG, 3, 0, /
23, NO_DATA, NONE, NONE, NONE
15, INDIVISIBLE, 0, 0, 3
21, INDIVISIBLE, 0, 0, 5
17, INDIVISIBLE, 0, 0, 6
12, INDIVISIBLE, 0, 0, 3
10, INDIVISIBLE, 0, 0, 7
2, INDIVISIBLE, 0, 0, 3
9, INDIVISIBLE, 0, 0, 3
31, INDIVISIBLE, 0, 0, 2
4, INVALID_DIVISIBLE_BUG, 3, 0, /
14, INDIVISIBLE, 0, 0, 5
19, NO_DATA, NONE, NONE, NONE
25, NO_DATA, NONE, NONE, NONE
32, INDIVISIBLE, 0, 0, 2
6, INVALID_DIVISIBLE_BUG, 13, 0, /
3, INDIVISIBLE, 0, 0, 3
37, INDIVISIBLE, 0, 0, 2
20, VALID_DIVISIBLE_BUG, 0, 1, /2/
33, INDIVISIBLE, 0, 0, 2
No_data=3, Divisible=5, Indivisible=17, Isolated=2, Single_divided=19
