bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
Closure_172, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_60, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
JacksonDatabind_78, INDIVISIBLE, 0, 0, 7, 3, 7, 3
Math_83, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
JxPath_4, NO_DATA, NONE, NONE, NONE, NONE, 18, 18
Closure_19, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Math_67, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_121, INDIVISIBLE, 0, 0, 2, 1, 2, 1
JacksonXml_4, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Jsoup_52, MIXED_DIVISIBLE_BUG, 1, 3, /2/3/3/, /2/3/3/, 6, 6
Csv_6, INDIVISIBLE, 0, 0, 2, 2, 2, 2
JacksonDatabind_58, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Gson_9, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
JacksonDatabind_40, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Jsoup_16, MIXED_DIVISIBLE_BUG, 1, 2, /2/2/, /2/2/, 4, 4
Math_54, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Time_3, VALID_DIVISIBLE_BUG, 0, 5, /2/2/2/2/2/, /2/2/2/2/2/, 20, 20
Time_12, VALID_DIVISIBLE_BUG, 0, 4, /2/2/4/4/, /2/2/3/3/, 8, 6
JacksonDatabind_26, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Lang_27, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
JxPath_15, INDIVISIBLE, 0, 0, 4, 4, 4, 4
Codec_1, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
Math_16, NO_DATA, NONE, NONE, NONE, NONE, 11, 7
Math_12, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 2
Csv_16, INDIVISIBLE, 0, 0, 4, 4, 4, 4
JxPath_7, NO_DATA, NONE, NONE, NONE, NONE, 11, 11
Chart_15, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Gson_7, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
Closure_72, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Cli_9, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_30, MIXED_DIVISIBLE_BUG, 1, 1, /5/, /5/, 6, 6
Jsoup_92, VALID_DIVISIBLE_BUG, 0, 3, /5/8/8/, /5/8/8/, 9, 9
JacksonDatabind_103, NO_DATA, NONE, NONE, NONE, NONE, 27, 27
JacksonDatabind_32, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Jsoup_83, VALID_DIVISIBLE_BUG, 0, 2, /2/4/, /2/4/, 4, 4
JacksonDatabind_28, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Chart_22, MIXED_DIVISIBLE_BUG, 3, 1, /2/, /2/, 7, 5
Lang_14, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_88, INDIVISIBLE, 0, 0, 4, 3, 4, 3
Mockito_3, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Cli_20, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Math_51, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Lang_47, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Math_46, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Cli_30, VALID_DIVISIBLE_BUG, 0, 2, /4/4/, /2/2/, 8, 4
Chart_26, INDIVISIBLE, 0, 0, 2, 2, 2, 2
JacksonDatabind_91, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Compress_15, INDIVISIBLE, 0, 0, 2, 2, 2, 2
JacksonDatabind_65, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 4, 4
JacksonDatabind_61, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Chart_18, MIXED_DIVISIBLE_BUG, 1, 2, /2/3/, /2/3/, 6, 6
JacksonDatabind_95, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
Math_74, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_102, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
JacksonDatabind_92, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
JacksonDatabind_43, INDIVISIBLE, 0, 0, 4, 3, 4, 3
Jsoup_22, MIXED_DIVISIBLE_BUG, 5, 2, /2/2/, /1/2/, 8, 6
Lang_7, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 2
JacksonDatabind_52, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Closure_147, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
JacksonDatabind_13, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Mockito_25, NO_DATA, NONE, NONE, NONE, NONE, 10, 6
JacksonDatabind_18, NO_DATA, NONE, NONE, NONE, NONE, 27, 18
Mockito_13, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Closure_37, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Closure_13, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Jsoup_44, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Math_86, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Closure_66, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Mockito_17, INDIVISIBLE, 0, 0, 6, 6, 6, 6
Math_6, NO_DATA, NONE, NONE, NONE, NONE, 17, 17
Closure_39, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
Math_3, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Closure_58, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_174, NO_DATA, NONE, NONE, NONE, NONE, 9, 8
Collections_25, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Time_18, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_56, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 2
Cli_38, INDIVISIBLE, 0, 0, 2, 1, 2, 1
JacksonXml_6, VALID_DIVISIBLE_BUG, 0, 1, /8/, /2/, 10, 2
Closure_8, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_24, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Mockito_4, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
Math_42, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Mockito_19, NO_DATA, NONE, NONE, NONE, NONE, 11, 11
Closure_87, INDIVISIBLE, 0, 0, 4, 1, 4, 1
Jsoup_6, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Cli_10, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_72, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Jsoup_50, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
JacksonDatabind_81, NO_DATA, NONE, NONE, NONE, NONE, 11, 7
JacksonDatabind_41, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Jsoup_23, INDIVISIBLE, 0, 0, 3, 2, 3, 2
JacksonDatabind_47, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Compress_10, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_3, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
Closure_34, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_175, VALID_DIVISIBLE_BUG, 0, 1, /6/, /5/, 7, 6
Mockito_9, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Jsoup_59, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Jsoup_36, MIXED_DIVISIBLE_BUG, 2, 1, /4/, /3/, 7, 6
Closure_24, INDIVISIBLE, 0, 0, 4, 3, 4, 3
JacksonDatabind_39, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Cli_27, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Cli_12, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_162, NO_DATA, NONE, NONE, NONE, NONE, 13, 9
JacksonDatabind_89, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
Closure_165, NO_DATA, NONE, NONE, NONE, NONE, 13, 12
JacksonDatabind_83, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Time_8, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 3, 3
Cli_33, INDIVISIBLE, 0, 0, 4, 2, 4, 2
JacksonDatabind_56, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Lang_23, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Closure_116, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Mockito_31, INDIVISIBLE, 0, 0, 2, 2, 2, 2
JacksonDatabind_66, INDIVISIBLE, 0, 0, 4, 4, 4, 4
JacksonCore_17, VALID_DIVISIBLE_BUG, 0, 2, /4/4/, /2/3/, 7, 5
JacksonDatabind_2, VALID_DIVISIBLE_BUG, 0, 1, /3/, /2/, 6, 4
JacksonDatabind_73, INDIVISIBLE, 0, 0, 4, 4, 4, 4
Time_5, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_29, INDIVISIBLE, 0, 0, 3, 3, 3, 3
JacksonDatabind_11, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_149, VALID_DIVISIBLE_BUG, 0, 1, /5/, /5/, 7, 7
Mockito_21, INDIVISIBLE, 0, 0, 5, 5, 5, 5
Mockito_23, NO_DATA, NONE, NONE, NONE, NONE, 8, 6
Math_8, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Compress_42, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_26, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Mockito_6, INVALID_DIVISIBLE_BUG, 13, 0, /, /, 20, 20
Time_22, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
Math_84, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Math_89, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Chart_16, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
JacksonXml_3, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Time_1, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Math_17, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_53, VALID_DIVISIBLE_BUG, 0, 3, /2/2/2/, /2/2/2/, 4, 4
JacksonDatabind_77, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Jsoup_67, INDIVISIBLE, 0, 0, 2, 2, 2, 2
JxPath_22, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Jsoup_85, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_37, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
Closure_25, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
Mockito_10, INDIVISIBLE, 0, 0, 7, 7, 7, 7
Lang_36, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_4, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Codec_13, INDIVISIBLE, 0, 0, 4, 4, 4, 4
Lang_37, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Mockito_2, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Math_21, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 6, 6
Jsoup_82, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Time_9, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 6, 6
JxPath_16, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
