bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
9, INDIVISIBLE, 0, 0, 2, 2, 2, 2
20, INDIVISIBLE, 0, 0, 3, 3, 3, 3
30, VALID_DIVISIBLE_BUG, 0, 2, /4/4/, /2/2/, 8, 4
38, INDIVISIBLE, 0, 0, 2, 1, 2, 1
10, INDIVISIBLE, 0, 0, 2, 2, 2, 2
27, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
12, INDIVISIBLE, 0, 0, 2, 2, 2, 2
33, INDIVISIBLE, 0, 0, 4, 2, 4, 2
26, INDIVISIBLE, 0, 0, 4, 3, 4, 3
39, INDIVISIBLE, 0, 0, 2, 2, 2, 2
22, NO_DATA, NONE, NONE, NONE, NONE, 11, 11
34, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
3, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
1, NO_DATA, NONE, NONE, NONE, NONE, 16, 13
23, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
37, INDIVISIBLE, 0, 0, 2, 1, 2, 1
36, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 5, 5
31, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
19, INDIVISIBLE, 0, 0, 3, 3, 3, 3
18, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
29, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 3, 3
STATSTICS, No_data=2, Divisible=9, Indivisible=10, Isolated=6, Single_divided=5, Hunks_total=84, Hunks_total_ci=72
