bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
172, INDIVISIBLE, 0, 0, 2, 2, 2, 2
19, INDIVISIBLE, 0, 0, 2, 1, 2, 1
121, INDIVISIBLE, 0, 0, 2, 1, 2, 1
72, INDIVISIBLE, 0, 0, 2, 2, 2, 2
30, MIXED_DIVISIBLE_BUG, 1, 1, /5/, /5/, 6, 6
102, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
147, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
37, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
13, INDIVISIBLE, 0, 0, 2, 2, 2, 2
66, INDIVISIBLE, 0, 0, 2, 1, 2, 1
39, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
58, INDIVISIBLE, 0, 0, 2, 2, 2, 2
174, NO_DATA, NONE, NONE, NONE, NONE, 9, 8
8, INDIVISIBLE, 0, 0, 2, 2, 2, 2
87, INDIVISIBLE, 0, 0, 4, 1, 4, 1
34, INDIVISIBLE, 0, 0, 3, 3, 3, 3
175, VALID_DIVISIBLE_BUG, 0, 1, /6/, /5/, 7, 6
24, INDIVISIBLE, 0, 0, 4, 3, 4, 3
162, NO_DATA, NONE, NONE, NONE, NONE, 13, 9
165, NO_DATA, NONE, NONE, NONE, NONE, 13, 12
116, INDIVISIBLE, 0, 0, 2, 2, 2, 2
29, INDIVISIBLE, 0, 0, 3, 3, 3, 3
149, VALID_DIVISIBLE_BUG, 0, 1, /5/, /5/, 7, 7
26, INDIVISIBLE, 0, 0, 3, 3, 3, 3
25, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
4, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
45, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
80, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
105, INDIVISIBLE, 0, 0, 5, 5, 5, 5
90, INDIVISIBLE, 0, 0, 2, 2, 2, 2
160, INDIVISIBLE, 0, 0, 3, 3, 3, 3
110, NO_DATA, NONE, NONE, NONE, NONE, 12, 8
145, INDIVISIBLE, 0, 0, 4, 2, 4, 2
22, VALID_DIVISIBLE_BUG, 0, 1, /4/, /4/, 5, 5
106, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
50, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 3, 2
139, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 9, 3
157, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 17, 12
6, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
99, MIXED_DIVISIBLE_BUG, 1, 1, /3/, /3/, 4, 4
158, NO_DATA, NONE, NONE, NONE, NONE, 26, 15
79, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
117, INDIVISIBLE, 0, 0, 3, 2, 3, 2
136, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 4, 3
169, NO_DATA, NONE, NONE, NONE, NONE, 33, 31
76, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 11, 10
103, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 3, 2
32, INDIVISIBLE, 0, 0, 6, 5, 6, 5
9, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
51, INDIVISIBLE, 0, 0, 3, 2, 3, 2
64, INDIVISIBLE, 0, 0, 4, 4, 4, 4
98, INDIVISIBLE, 0, 0, 5, 3, 5, 3
128, INDIVISIBLE, 0, 0, 2, 2, 2, 2
164, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 2
176, VALID_DIVISIBLE_BUG, 0, 1, /4/, /2/, 5, 3
156, NO_DATA, NONE, NONE, NONE, NONE, 12, 11
16, INDIVISIBLE, 0, 0, 5, 5, 5, 5
94, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
23, INDIVISIBLE, 0, 0, 2, 2, 2, 2
49, NO_DATA, NONE, NONE, NONE, NONE, 8, 4
2, INDIVISIBLE, 0, 0, 3, 2, 3, 2
148, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 65, 36
68, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
75, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
134, VALID_DIVISIBLE_BUG, 0, 2, /2/5/, /1/5/, 9, 8
101, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
142, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
96, INDIVISIBLE, 0, 0, 3, 2, 3, 2
89, INDIVISIBLE, 0, 0, 2, 2, 2, 2
108, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
7, INDIVISIBLE, 0, 0, 3, 1, 3, 1
