bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
15, INDIVISIBLE, 0, 0, 2, 2, 2, 2
10, INDIVISIBLE, 0, 0, 2, 2, 2, 2
42, INDIVISIBLE, 0, 0, 2, 2, 2, 2
18, INDIVISIBLE, 0, 0, 2, 1, 2, 1
20, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 6, 6
45, INDIVISIBLE, 0, 0, 2, 2, 2, 2
9, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 2
16, INDIVISIBLE, 0, 0, 2, 2, 2, 2
8, MIXED_DIVISIBLE_BUG, 1, 1, /7/, /3/, 10, 6
4, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
44, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 1
17, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
24, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
35, INDIVISIBLE, 0, 0, 2, 2, 2, 2
21, MIXED_DIVISIBLE_BUG, 2, 1, /2/, /2/, 2, 2
2, NO_DATA, NONE, NONE, NONE, NONE, 12, 9
11, INDIVISIBLE, 0, 0, 2, 2, 2, 2
40, INDIVISIBLE, 0, 0, 5, 4, 5, 4
3, INDIVISIBLE, 0, 0, 4, 4, 4, 4
39, INDIVISIBLE, 0, 0, 2, 2, 2, 2
29, NO_DATA, NONE, NONE, NONE, NONE, 16, 16
47, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
32, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
41, INDIVISIBLE, 0, 0, 2, 2, 2, 2
6, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
33, INDIVISIBLE, 0, 0, 3, 3, 3, 3
34, INDIVISIBLE, 0, 0, 2, 2, 2, 2
22, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 13, 13
7, INDIVISIBLE, 0, 0, 2, 2, 2, 2
43, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
28, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
STATSTICS, No_data=2, Divisible=14, Indivisible=15, Isolated=6, Single_divided=13, Hunks_total=124, Hunks_total_ci=113
