bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
17, VALID_DIVISIBLE_BUG, 0, 2, /4/4/, /2/3/, 7, 5
24, VALID_DIVISIBLE_BUG, 0, 5, /2/2/3/3/3/, /2/2/3/3/3/, 6, 6
1, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 7, 7
18, INDIVISIBLE, 0, 0, 5, 4, 5, 4
14, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
4, INDIVISIBLE, 0, 0, 2, 1, 2, 1
3, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 1
19, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
9, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 6, 6
12, NO_DATA, NONE, NONE, NONE, NONE, 15, 15
15, INDIVISIBLE, 0, 0, 3, 1, 3, 1
16, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 6, 6
22, VALID_DIVISIBLE_BUG, 0, 7, /2/2/3/3/3/5/5/, /2/2/3/3/3/5/5/, 10, 10
2, VALID_DIVISIBLE_BUG, 0, 2, /3/4/, /2/3/, 11, 8
21, INDIVISIBLE, 0, 0, 2, 2, 2, 2
10, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
STATSTICS, No_data=1, Divisible=11, Indivisible=4, Isolated=18, Single_divided=10, Hunks_total=89, Hunks_total_ci=79
