bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
78, INDIVISIBLE, 0, 0, 7, 3, 7, 3
58, INDIVISIBLE, 0, 0, 2, 2, 2, 2
40, INDIVISIBLE, 0, 0, 2, 1, 2, 1
26, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
103, NO_DATA, NONE, NONE, NONE, NONE, 27, 27
32, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
28, INDIVISIBLE, 0, 0, 2, 2, 2, 2
91, INDIVISIBLE, 0, 0, 2, 1, 2, 1
65, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 4, 4
61, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
95, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
92, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
43, INDIVISIBLE, 0, 0, 4, 3, 4, 3
52, INDIVISIBLE, 0, 0, 3, 2, 3, 2
13, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
18, NO_DATA, NONE, NONE, NONE, NONE, 27, 18
81, NO_DATA, NONE, NONE, NONE, NONE, 11, 7
41, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
47, INDIVISIBLE, 0, 0, 3, 3, 3, 3
39, INDIVISIBLE, 0, 0, 2, 2, 2, 2
89, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
83, INDIVISIBLE, 0, 0, 2, 2, 2, 2
56, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
66, INDIVISIBLE, 0, 0, 4, 4, 4, 4
2, VALID_DIVISIBLE_BUG, 0, 1, /3/, /2/, 6, 4
73, INDIVISIBLE, 0, 0, 4, 4, 4, 4
11, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
77, INDIVISIBLE, 0, 0, 3, 2, 3, 2
20, INDIVISIBLE, 0, 0, 2, 2, 2, 2
64, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
55, INDIVISIBLE, 0, 0, 6, 3, 6, 3
101, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
6, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
108, INDIVISIBLE, 0, 0, 2, 2, 2, 2
3, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
22, NO_DATA, NONE, NONE, NONE, NONE, 24, 24
79, INDIVISIBLE, 0, 0, 6, 6, 6, 6
54, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
50, NO_DATA, NONE, NONE, NONE, NONE, 11, 7
14, INDIVISIBLE, 0, 0, 3, 2, 3, 2
87, NO_DATA, NONE, NONE, NONE, NONE, 11, 11
8, VALID_DIVISIBLE_BUG, 0, 1, /3/, /1/, 9, 4
106, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
68, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 22, 22
21, INDIVISIBLE, 0, 0, 5, 2, 5, 2
30, NO_DATA, NONE, NONE, NONE, NONE, 8, 7
85, NO_DATA, NONE, NONE, NONE, NONE, 9, 3
100, INDIVISIBLE, 0, 0, 2, 2, 2, 2
48, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
9, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 2
35, INDIVISIBLE, 0, 0, 2, 2, 2, 2
110, INDIVISIBLE, 0, 0, 3, 3, 3, 3
31, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 20, 19
7, INDIVISIBLE, 0, 0, 3, 2, 3, 2
23, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 11, 11
80, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
105, INDIVISIBLE, 0, 0, 2, 2, 2, 2
4, VALID_DIVISIBLE_BUG, 0, 1, /3/, /2/, 6, 4
24, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
94, INDIVISIBLE, 0, 0, 3, 2, 3, 2
25, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
60, NO_DATA, NONE, NONE, NONE, NONE, 24, 4
104, VALID_DIVISIBLE_BUG, 0, 2, /6/8/, /3/5/, 8, 5
111, NO_DATA, NONE, NONE, NONE, NONE, 7, 7
29, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
109, NO_DATA, NONE, NONE, NONE, NONE, 13, 5
63, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
59, VALID_DIVISIBLE_BUG, 0, 1, /4/, /3/, 5, 4
75, VALID_DIVISIBLE_BUG, 0, 1, /4/, /4/, 5, 5
49, INDIVISIBLE, 0, 0, 2, 2, 2, 2
5, INDIVISIBLE, 0, 0, 2, 2, 2, 2
88, INDIVISIBLE, 0, 0, 2, 1, 2, 1
10, NO_DATA, NONE, NONE, NONE, NONE, 9, 8
51, INDIVISIBLE, 0, 0, 2, 2, 2, 2
36, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /1/2/, 3, 2
53, NO_DATA, NONE, NONE, NONE, NONE, 16, 11
69, VALID_DIVISIBLE_BUG, 0, 1, /6/, /6/, 10, 10
38, VALID_DIVISIBLE_BUG, 0, 3, /2/2/3/, /2/2/2/, 7, 6
90, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
44, INDIVISIBLE, 0, 0, 5, 2, 5, 2
15, NO_DATA, NONE, NONE, NONE, NONE, 14, 13
112, INDIVISIBLE, 0, 0, 2, 2, 2, 2
STATSTICS, No_data=14, Divisible=37, Indivisible=31, Isolated=25, Single_divided=20, Hunks_total=483, Hunks_total_ci=381
