bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
52, MIXED_DIVISIBLE_BUG, 1, 3, /2/3/3/, /2/3/3/, 6, 6
16, MIXED_DIVISIBLE_BUG, 1, 2, /2/2/, /2/2/, 4, 4
92, VALID_DIVISIBLE_BUG, 0, 3, /5/8/8/, /5/8/8/, 9, 9
83, VALID_DIVISIBLE_BUG, 0, 2, /2/4/, /2/4/, 4, 4
22, MIXED_DIVISIBLE_BUG, 5, 2, /2/2/, /1/2/, 8, 6
44, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
6, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
50, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
23, INDIVISIBLE, 0, 0, 3, 2, 3, 2
59, INDIVISIBLE, 0, 0, 2, 2, 2, 2
36, MIXED_DIVISIBLE_BUG, 2, 1, /4/, /3/, 7, 6
67, INDIVISIBLE, 0, 0, 2, 2, 2, 2
85, INDIVISIBLE, 0, 0, 2, 2, 2, 2
82, INDIVISIBLE, 0, 0, 2, 1, 2, 1
64, INDIVISIBLE, 0, 0, 2, 2, 2, 2
63, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 7, 7
28, VALID_DIVISIBLE_BUG, 0, 2, /2/6/, /2/6/, 8, 8
3, NO_DATA, NONE, NONE, NONE, NONE, 19, 18
81, INDIVISIBLE, 0, 0, 2, 2, 2, 2
71, INDIVISIBLE, 0, 0, 6, 4, 6, 4
66, INDIVISIBLE, 0, 0, 5, 5, 5, 5
29, INDIVISIBLE, 0, 0, 2, 2, 2, 2
87, NO_DATA, NONE, NONE, NONE, NONE, 58, 58
38, INDIVISIBLE, 0, 0, 2, 2, 2, 2
11, MIXED_DIVISIBLE_BUG, 1, 2, /4/5/, /3/4/, 5, 4
79, INDIVISIBLE, 0, 0, 3, 3, 3, 3
74, INDIVISIBLE, 0, 0, 3, 2, 3, 2
27, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
21, INDIVISIBLE, 0, 0, 3, 3, 3, 3
53, INDIVISIBLE, 0, 0, 2, 2, 2, 2
31, INDIVISIBLE, 0, 0, 3, 3, 3, 3
14, NO_DATA, NONE, NONE, NONE, NONE, 3, 2
48, INDIVISIBLE, 0, 0, 2, 2, 2, 2
7, INDIVISIBLE, 0, 0, 4, 3, 4, 3
42, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
30, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 9, 6
70, INDIVISIBLE, 0, 0, 2, 2, 2, 2
4, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
65, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
49, NO_DATA, NONE, NONE, NONE, NONE, 2, 2
78, INDIVISIBLE, 0, 0, 4, 3, 4, 3
12, INDIVISIBLE, 0, 0, 2, 2, 2, 2
18, MIXED_DIVISIBLE_BUG, 2, 1, /2/, /2/, 2, 2
8, INDIVISIBLE, 0, 0, 2, 2, 2, 2
89, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
56, NO_DATA, NONE, NONE, NONE, NONE, 13, 12
58, MIXED_DIVISIBLE_BUG, 1, 1, /4/, /4/, 5, 5
80, INDIVISIBLE, 0, 0, 2, 2, 2, 2
91, INDIVISIBLE, 0, 0, 6, 3, 6, 3
60, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 3, 3
STATSTICS, No_data=5, Divisible=21, Indivisible=24, Isolated=24, Single_divided=25, Hunks_total=260, Hunks_total_ci=240
