bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
4, NO_DATA, NONE, NONE, NONE, NONE, 18, 18
15, INDIVISIBLE, 0, 0, 4, 4, 4, 4
7, NO_DATA, NONE, NONE, NONE, NONE, 11, 11
22, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
16, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
18, INDIVISIBLE, 0, 0, 5, 5, 5, 5
19, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 5, 5
9, NO_DATA, NONE, NONE, NONE, NONE, 15, 15
20, INDIVISIBLE, 0, 0, 2, 2, 2, 2
13, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 12, 10
8, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
11, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 5, 5
1, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
14, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
17, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 6, 6
2, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
6, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
3, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
STATSTICS, No_data=3, Divisible=12, Indivisible=3, Isolated=7, Single_divided=11, Hunks_total=104, Hunks_total_ci=102
