bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
62, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 4, 4
23, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
7, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 2
10, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
5, INDIVISIBLE, 0, 0, 2, 2, 2, 2
4, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
20, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
41, VALID_DIVISIBLE_BUG, 0, 3, /3/4/5/, /2/2/2/, 8, 4
13, INDIVISIBLE, 0, 0, 4, 4, 4, 4
56, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 2
30, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /1/2/, 20, 17
27, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
28, INDIVISIBLE, 0, 0, 2, 2, 2, 2
36, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
55, INDIVISIBLE, 0, 0, 2, 2, 2, 2
17, NO_DATA, NONE, NONE, NONE, NONE, 6, 6
14, INDIVISIBLE, 0, 0, 2, 2, 2, 2
12, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
31, INDIVISIBLE, 0, 0, 4, 3, 4, 3
19, MIXED_DIVISIBLE_BUG, 3, 1, /3/, /2/, 5, 4
32, INDIVISIBLE, 0, 0, 4, 4, 4, 4
47, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
48, INDIVISIBLE, 0, 0, 2, 2, 2, 2
18, INDIVISIBLE, 0, 0, 2, 2, 2, 2
34, INDIVISIBLE, 0, 0, 2, 2, 2, 2
53, VALID_DIVISIBLE_BUG, 0, 3, /2/2/2/, /2/2/2/, 4, 4
3, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
46, INDIVISIBLE, 0, 0, 9, 9, 9, 9
15, INDIVISIBLE, 0, 0, 2, 2, 2, 2
65, VALID_DIVISIBLE_BUG, 0, 3, /6/7/8/, /3/3/3/, 8, 3
42, INDIVISIBLE, 0, 0, 2, 2, 2, 2
63, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
35, INDIVISIBLE, 0, 0, 2, 2, 2, 2
1, INDIVISIBLE, 0, 0, 3, 3, 3, 3
37, INDIVISIBLE, 0, 0, 3, 2, 3, 2
22, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
50, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 6, 6
60, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
64, INDIVISIBLE, 0, 0, 5, 2, 5, 2
8, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
STATSTICS, No_data=1, Divisible=22, Indivisible=17, Isolated=20, Single_divided=20, Hunks_total=154, Hunks_total_ci=132
