bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
11, INDIVISIBLE, 0, 0, 3, 3, 3, 3
13, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
36, INDIVISIBLE, 0, 0, 2, 2, 2, 2
16, INDIVISIBLE, 0, 0, 5, 5, 5, 5
30, INDIVISIBLE, 0, 0, 3, 3, 3, 3
35, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
23, NO_DATA, NONE, NONE, NONE, NONE, 8, 6
15, INDIVISIBLE, 0, 0, 3, 3, 3, 3
21, INDIVISIBLE, 0, 0, 5, 5, 5, 5
17, INDIVISIBLE, 0, 0, 6, 6, 6, 6
12, INDIVISIBLE, 0, 0, 3, 2, 3, 2
10, INDIVISIBLE, 0, 0, 7, 7, 7, 7
2, INDIVISIBLE, 0, 0, 3, 3, 3, 3
9, INDIVISIBLE, 0, 0, 3, 2, 3, 2
31, INDIVISIBLE, 0, 0, 2, 2, 2, 2
4, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
14, INDIVISIBLE, 0, 0, 5, 5, 5, 5
19, NO_DATA, NONE, NONE, NONE, NONE, 11, 11
25, NO_DATA, NONE, NONE, NONE, NONE, 10, 6
32, INDIVISIBLE, 0, 0, 2, 2, 2, 2
6, INVALID_DIVISIBLE_BUG, 13, 0, /, /, 20, 20
3, INDIVISIBLE, 0, 0, 3, 3, 3, 3
37, INDIVISIBLE, 0, 0, 2, 2, 2, 2
20, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
33, INDIVISIBLE, 0, 0, 2, 1, 2, 1
STATSTICS, No_data=3, Divisible=5, Indivisible=17, Isolated=2, Single_divided=19, Hunks_total=120, Hunks_total_ci=110
